Case_Type,Rank,Sample,FP_Reduction_None_minus_PRAP,Delta_Dice_PRAP_minus_None,Delta_Precision_PRAP_minus_None,Delta_Recall_PRAP_minus_None,FN_Increase_PRAP_minus_None,Baseline_Dice,Baseline_IoU,Baseline_Precision,Baseline_Recall,Baseline_HD95,Baseline_FP,Baseline_FN,Area_Dice,Area_IoU,Area_Precision,Area_Recall,Area_HD95,Area_FP,Area_FN,Entropy_Dice,Entropy_IoU,Entropy_Precision,Entropy_Recall,Entropy_HD95,Entropy_FP,Entropy_FN,Seeded_Dice,Seeded_IoU,Seeded_Precision,Seeded_Recall,Seeded_HD95,Seeded_FP,Seeded_FN,PRAP_Dice,PRAP_IoU,PRAP_Precision,PRAP_Recall,PRAP_HD95,PRAP_FP,PRAP_FN
success,1,cju1ewnoh5z030855vpex9uzt,16779,0.27185619037029496,0.30374347889499254,-0.00039594551789667864,5,0.5175663744070964,0.3491329159510222,0.34937487871815487,0.9980202724105163,169.86390931474617,23470,25,0.5222958972233734,0.35345093530022154,0.3536989223170184,0.9980202724105163,171.13094382801214,23029,25,0.5538684655782373,0.3830000607791892,0.38329126243119127,0.9980202724105163,135.3845162907923,20278,25,0.5222958972233734,0.35345093530022154,0.3536989223170184,0.9980202724105163,171.13094382801214,23029,25,0.7894225647773914,0.6521041461773384,0.6531183576131474,0.9976243268926196,63.968350571927886,6691,30
success,2,cju7ey10f2rvf0871bwbi9x82,3209,0.13527817759453498,0.1884834202924045,0.0,0,0.7107479196771139,0.5512870062611115,0.5598116169544741,0.973120480283804,91.20718022145992,5608,197,0.7107479196771139,0.5512870062611115,0.5598116169544741,0.973120480283804,91.20718022145992,5608,197,0.7107479196771139,0.5512870062611115,0.5598116169544741,0.973120480283804,91.20718022145992,5608,197,0.7107479196771139,0.5512870062611115,0.5598116169544741,0.973120480283804,91.20718022145992,5608,197,0.8460260972716489,0.733141447368421,0.7482950372468786,0.973120480283804,83.87042951230515,2399,197
success,3,cju6z7e4bwgdd0987ogkzq9kt,2884,0.0668904279274376,0.11612185780718287,-0.00016438356164383272,3,0.8835629825075736,0.7914131909492756,0.7972401022837492,0.9908493150684932,44.0,4599,167,0.8835629825075736,0.7914131909492756,0.7972401022837492,0.9908493150684932,44.0,4599,167,0.8835629825075736,0.7914131909492756,0.7972401022837492,0.9908493150684932,44.0,4599,167,0.8835629825075736,0.7914131909492756,0.7972401022837492,0.9908493150684932,44.0,4599,167,0.9504534104350112,0.9055847733533684,0.9133619600909321,0.9906849315068493,14.979910312097763,1715,170
success,4,cju77re6fz5bb0817vp9redjg,1527,0.03664204672846971,0.04585780658837002,0.0,0,0.7129961587708067,0.5539969158832015,0.5558494709522859,0.994019992859693,54.92221482743473,8899,67,0.7144827586206897,0.555793991416309,0.557658604977217,0.994019992859693,53.871136007095245,8834,67,0.7144827586206897,0.555793991416309,0.557658604977217,0.994019992859693,53.871136007095245,8834,67,0.7144827586206897,0.555793991416309,0.557658604977217,0.994019992859693,53.871136007095245,8834,67,0.7496382054992764,0.5995370370370371,0.6017072775406559,0.994019992859693,52.20153254455275,7372,67
success,5,cju6xlygpw7bs0818n691jsq4,1498,0.015575703006680763,0.031115710652275697,-0.0029809736119030816,115,0.9138060113648916,0.8412917222209667,0.8677653201557073,0.9650059619472238,36.05551275463989,5673,1350,0.9138060113648916,0.8412917222209667,0.8677653201557073,0.9650059619472238,36.05551275463989,5673,1350,0.9138060113648916,0.8412917222209667,0.8677653201557073,0.9650059619472238,36.05551275463989,5673,1350,0.9138060113648916,0.8412917222209667,0.8677653201557073,0.9650059619472238,36.05551275463989,5673,1350,0.9293817143715724,0.8680794330222441,0.898881030807983,0.9620249883353207,26.750597549037806,4175,1465
success,6,cju5ktjwofed70817eg58ef7u,1341,0.04095781289416334,0.07588345165517274,-0.0049886621315192725,66,0.8989127442884668,0.8163864758452597,0.8249968422382216,0.9873771730914588,46.626701388699914,2771,167,0.8989436740873276,0.8164375,0.8250489483989136,0.9873771730914588,46.58110888766939,2770,167,0.8989436740873276,0.8164375,0.8250489483989136,0.9873771730914588,46.58110888766939,2770,167,0.8989436740873276,0.8164375,0.8250489483989136,0.9873771730914588,46.58110888766939,2770,167,0.9398705571826301,0.88656207366985,0.9008802938933943,0.9823885109599395,26.91640786499874,1430,233
success,7,cju1gghyjwxt80835vx0wgxw0,1256,0.020614551769280398,0.03930398523282952,-0.0013455845603783656,35,0.9089350213433544,0.8330713927436884,0.8648245218176138,0.957787090077275,29.017236257093817,3894,1098,0.9090676883780332,0.833294310465933,0.8650647591930275,0.957787090077275,29.017236257093817,3886,1098,0.9090676883780332,0.833294310465933,0.8650647591930275,0.957787090077275,29.017236257093817,3886,1098,0.9090676883780332,0.833294310465933,0.8650647591930275,0.957787090077275,29.017236257093817,3886,1098,0.9295495731126348,0.8683723690181158,0.9041285070504433,0.9564415055168967,19.052343178074636,2638,1133
success,8,cju1ffnjn6ctm08015perkg37,1188,0.019602598281714956,0.035438501692600766,-0.0009662956091527342,25,0.9241127386025857,0.8589308301710938,0.8608794288383266,0.9973716759431045,29.044774409873213,4170,68,0.9241127386025857,0.8589308301710938,0.8608794288383266,0.9973716759431045,29.044774409873213,4170,68,0.9241127386025857,0.8589308301710938,0.8608794288383266,0.9973716759431045,29.044774409873213,4170,68,0.9241127386025857,0.8589308301710938,0.8608794288383266,0.9973716759431045,29.044774409873213,4170,68,0.9437153368843006,0.8934289873154502,0.8963179305309273,0.9964053803339518,18.552479340792534,2982,93
failure,1,cju8doa16u5gh0818w1ywda3q,41,-0.10733735233686947,-0.0018263772974439485,-0.1688378837096901,15021,0.9187522210778025,0.8497147822986764,0.9897606935215947,0.8572504411748176,57.0,789,12700,0.9186805773076645,0.8495922278176389,0.9897592316178857,0.8571267998246541,58.061995336747515,789,12711,0.9073800176511763,0.8304625874593342,0.9895258071367884,0.8378275090763991,59.434836928135894,789,14428,0.9186805773076645,0.8495922278176389,0.9897592316178857,0.8571267998246541,58.061995336747515,789,12711,0.811414868740933,0.6826729086551858,0.9879343162241507,0.6884125574651275,96.62403723635322,748,27721
failure,2,cju1dg44i4z3w0801nyz4p6zf,16,-0.1228375831230748,0.02269503546099294,-0.1539153915391539,171,0.7588105726872246,0.611357586512866,0.9773049645390071,0.6201620162016201,20.376274151652577,16,422,0.7588105726872246,0.611357586512866,0.9773049645390071,0.6201620162016201,20.376274151652577,16,422,0.7588105726872246,0.611357586512866,0.9773049645390071,0.6201620162016201,20.376274151652577,16,422,0.7588105726872246,0.611357586512866,0.9773049645390071,0.6201620162016201,20.376274151652577,16,422,0.6359729895641498,0.46624662466246625,1.0,0.46624662466246625,25.221799175664685,0,593
