epoch,train_loss,val_soft_dice
1,0.5129,0.5434
2,0.3443,0.6237
3,0.2453,0.7344
4,0.1852,0.7806
5,0.1568,0.8076
6,0.1353,0.8236
7,0.1256,0.862
8,0.116,0.8529
9,0.1045,0.8587
10,0.1005,0.8552
11,0.0901,0.8831
12,0.0657,0.8881
13,0.0661,0.8872
14,0.0603,0.8883
15,0.0628,0.8921
16,0.0579,0.8909
17,0.0555,0.889
18,0.0522,0.8909
19,0.0552,0.8895
20,0.0509,0.8925
21,0.0475,0.8947
22,0.0488,0.8938
23,0.0487,0.8954
24,0.0538,0.8896
25,0.0484,0.8898
26,0.0459,0.8907
27,0.048,0.8904
28,0.0463,0.8904
29,0.0467,0.8904
30,0.0483,0.8925
31,0.0463,0.8912
